tissue,age,protein_id,abundance
Brain,3,P0064,10.503761160820908
Brain,3,P0065,11.32186654000841
Brain,3,P0066,11.893693969361196
Brain,3,P0067,5.994035890719709
Brain,3,P0068,5.599005117681524
Brain,3,P0069,12.363956781520933
Brain,3,P0070,6.587786504533557
Brain,3,P0071,3.436962908541407
Brain,3,P0072,3.7435249651452422
Brain,3,P0073,4.255995217789527
Brain,3,P0074,9.957205365504807
Brain,3,P0075,8.048256158113839
Brain,3,P0076,11.181841997624774
Brain,3,P0077,5.718167644485246
Brain,3,P0078,8.126447081094526
Brain,3,P0079,10.754822260689616
Brain,3,P0080,6.137344005434762
Brain,3,P0081,9.718829044421005
Brain,3,P0082,4.967141061002234
Brain,3,P0083,5.94272446321263
Brain,3,P0084,5.876476006359604
Brain,3,P0085,3.6056289179375662
Brain,3,P0086,9.896523050882365
Brain,3,P0087,5.575369515062244
Brain,3,P0088,7.444656086917843
Brain,3,P0089,9.859623618731852
Brain,3,P0090,9.659276081548104
Brain,3,P0091,11.014703536689613
Brain,3,P0092,6.965077326295087
Brain,3,P0093,5.731750679515472
Brain,3,P0094,7.043949866777987
Brain,3,P0095,2.6847814812113517
Brain,3,P0096,3.1010244248989087
Brain,3,P0097,3.341367761478998
Brain,3,P0098,4.061904301548407
Brain,3,P0099,9.39205891571542
Brain,3,P0100,4.291827216208563
Brain,3,P0101,5.889095777201288
Brain,3,P0102,16.111559225138045
Brain,3,P0103,5.9669840611093194
Brain,3,P0104,11.501866667158318
Brain,3,P0105,4.21997579392219
Brain,3,P0106,6.532158665325296
Brain,3,P0107,4.178643895786898
Brain,3,P0108,6.028993940571028
Brain,3,P0109,12.233583092619615
Brain,3,P0110,2.6211358283086454
Brain,3,P0111,9.589360341790211
Brain,3,P0112,8.521917390873464
Brain,3,P0113,5.173296088028002
Brain,3,P0114,3.102987283623879
Brain,3,P0115,7.715858100861414
Brain,3,P0116,5.377934478692649
Brain,3,P0117,8.496087189060662
Brain,3,P0118,7.486574032256561
Brain,3,P0119,19.318580148253908
Brain,3,P0120,6.400567277302995
Brain,3,P0121,3.9984288818603075
Brain,3,P0122,8.22818438482432
Brain,3,P0123,8.431696610158962
Brain,3,P0124,16.701733979564207
Brain,3,P0125,12.195496540275599
Brain,3,P0126,9.153374741440997
Brain,3,P0127,17.77835550866057
Brain,3,P0128,3.620970802628821
Brain,3,P0129,5.033668691331681
Brain,3,P0130,4.237843092270976
Brain,3,P0131,5.848084186420151
Brain,3,P0132,3.2348686083340414
Brain,3,P0133,10.816692773876808
Brain,3,P0134,6.466702908164065
Brain,3,P0135,3.0572512357745225
Brain,3,P0136,4.017470803511173
Brain,3,P0137,8.918326424971685
Brain,3,P0138,12.21758052060875
Brain,3,P0139,24.484457659847944
Brain,3,P0140,42.44959956454559
Brain,3,P0141,9.474894913330356
Brain,3,P0142,4.080735035626941
Brain,3,P0143,2.056020321539245
Brain,3,P0144,8.676575102875937
Brain,3,P0145,4.536860907384935
Brain,3,P0146,5.7591255208901995
Brain,3,P0147,5.117888340924167
Brain,3,P0148,6.790506054332255
Brain,3,P0149,14.007433296657904
Brain,3,P0150,8.119179810130102
Brain,3,P0151,6.718192181798176
Brain,3,P0152,3.9693714145819246
Brain,3,P0153,2.7052389185281274
Brain,3,P0154,5.519102489325994
Brain,3,P0155,7.154420872700357
Brain,3,P0156,21.343728472210845
Brain,3,P0157,7.989791888023679
Brain,3,P0158,13.325023139707762
Brain,3,P0159,5.476261394612462
Brain,3,P0160,3.6292780353037872
Brain,3,P0161,4.1409695144725
Brain,3,P0162,4.782026263975353
Brain,3,P0163,26.498333373836992
Brain,3,P0164,4.513929194267419
Brain,3,P0165,12.220239129389624
Brain,3,P0166,4.298403579344977
Brain,3,P0167,12.922161817902726
Brain,3,P0168,9.308896722143905
Brain,3,P0169,6.72624649955046
Brain,3,P0170,7.210530192580862
Brain,3,P0171,4.9884606876368425
Brain,3,P0172,9.656616430655196
Brain,3,P0173,5.623813046090479
Brain,3,P0174,3.5418052037831647
Brain,3,P0175,3.4323235628730915
Brain,3,P0176,8.195233875832347
Brain,3,P0177,19.05738620735869
Brain,3,P0178,8.133529548405987
Brain,3,P0179,6.881364799786243
Brain,3,P0180,8.771393465292222
Brain,3,P0181,16.17717090567513
Brain,3,P0182,8.428590021750015
Brain,3,P0183,5.774453740242828
Brain,3,P0184,14.350334126854708
Brain,3,P0185,9.556808793034755
Brain,3,P0186,18.568258583954876
Brain,3,P0187,8.247751867753736
Brain,3,P0188,3.5442216778416284
Brain,3,P0189,3.2514611517182432
Brain,3,P0190,19.896757113662883
Brain,3,P0191,20.78433197595865
Brain,3,P0192,6.634534267520405
Brain,3,P0193,5.871367713632536
Brain,3,P0194,17.758540858939796
Brain,3,P0195,3.8029329226226274
Brain,3,P0196,4.319604247248947
Brain,3,P0197,10.869884514258436
Brain,3,P0198,5.831282309125697
Brain,3,P0199,7.366383498270232
Brain,3,P0200,6.698839221636426
Brain,3,P0201,9.04800896173665
Brain,3,P0202,17.192772925820627
Brain,3,P0203,7.8017724428260475
Brain,3,P0204,10.873876659553215
Brain,3,P0205,2.159543246499622
Brain,3,P0206,7.176192563980704
Brain,3,P0207,4.455154933790246
Brain,3,P0208,3.556269718939286
Brain,3,P0209,4.362776121458807
Brain,3,P0210,6.046780221476205
Brain,3,P0211,12.801233396867572
Brain,3,P0212,3.333971944600259
Brain,3,P0213,7.526114421548352
Brain,3,P0214,5.526188514408844
Brain,3,P0215,6.070227861827047
Brain,3,P0216,13.486034859606892
Brain,3,P0217,10.204912910294903
Brain,3,P0218,16.484801982412378
Brain,3,P0219,6.7348571022443435
Brain,3,P0220,4.866789273907878
Brain,3,P0221,6.46035784272938
Brain,3,P0222,8.546296872180802
Brain,3,P0223,8.214854296626438
Brain,3,P0224,3.854985156908845
Brain,3,P0225,7.80132716808905
Brain,3,P0226,8.473443665241474
Brain,3,P0227,33.464474803331875
Brain,3,P0228,22.785098933895952
Brain,3,P0229,4.428469281361075
Brain,3,P0230,6.2187565990035
Brain,3,P0231,3.070789820088223
Brain,3,P0232,5.1839939480564405
Brain,3,P0233,8.929523215612086
Brain,3,P0234,15.233731892830699
Brain,3,P0235,4.770970280674139
Brain,3,P0236,4.990380383214913
Brain,3,P0237,2.0373024047306925
Brain,3,P0238,6.7019628600178
Brain,3,P0239,3.906146557548135
Brain,3,P0240,5.3781064087284305
Brain,3,P0241,4.366158379399007
Brain,3,P0242,6.9827475243153705
Brain,3,P0243,2.573747389771401
Brain,3,P0244,3.0641581091972063
Brain,3,P0245,26.510695814875795
Brain,3,P0246,3.4128456721037614
Brain,3,P0247,3.8264162222227402
Brain,3,P0248,22.245686329672775
Brain,3,P0249,42.2261755118197
Brain,3,P0250,3.6585248609194467
Brain,3,P0251,5.924229438129118
Brain,3,P0252,9.069646879460118
Brain,3,P0253,20.84717790161585
Brain,3,P0254,4.087304690508017
Brain,3,P0255,6.377864302138895
Brain,3,P0256,11.779992548134631
Brain,3,P0257,9.591330760297756
Brain,3,P0258,5.896189868259528
Brain,3,P0259,6.818954911228999
Brain,3,P0260,3.2383453826005524
Brain,3,P0261,6.405107721902799
Brain,3,P0262,6.2975930572706575
Brain,3,P0263,8.493506528943431
Brain,3,P0264,5.295215456107781
Brain,3,P0265,9.80530056588811
Brain,3,P0266,13.566852353702844
Brain,3,P0267,8.111295501383653
Brain,3,P0268,9.125328009230277
Brain,3,P0269,7.628515066116248
Brain,3,P0270,7.3894302595756365
Brain,3,P0271,4.792562225920263
Brain,3,P0272,8.934288877287898
Brain,3,P0273,6.970089329343361
Brain,3,P0274,25.9429782507913
Brain,3,P0275,18.991907008137556
Brain,3,P0276,9.313900219407657
Brain,3,P0277,4.674703200415426
Brain,3,P0278,3.790709166681842
Brain,3,P0279,15.099864523897597
Brain,3,P0280,8.650780387550352
Brain,3,P0281,9.856055541119412
Brain,3,P0282,2.5941227559681774
Brain,3,P0283,12.890145296690228
Brain,3,P0284,9.705106622701381
Brain,3,P0285,3.795216998625387
Brain,3,P0286,5.568273910565492
Brain,3,P0287,8.655806112184209
Brain,3,P0288,7.625364152162318
Brain,3,P0289,6.200917645996799
Brain,3,P0290,6.944201808088127
Brain,3,P0291,6.352278535787061
Brain,3,P0292,8.097355341059043
Brain,3,P0293,17.865923507175015
Brain,3,P0294,1.584081803117818
Brain,3,P0295,6.41019595901318
Brain,3,P0296,8.214553948570863
Brain,3,P0297,8.825068755780173
Brain,3,P0298,5.9112141556558155
Brain,3,P0299,2.5753023134675725
Brain,3,P0300,8.996155237497439
Brain,3,P0301,20.83033064191405
Brain,3,P0302,2.9437466979024722
Brain,3,P0303,12.407446396483069
Brain,3,P0304,6.067125085636198
Brain,3,P0305,7.1221197050686635
Brain,3,P0306,3.9285126495699427
Brain,3,P0307,6.045573168853058
Brain,3,P0308,16.11945224752963
Brain,3,P0309,10.481304488001864
Brain,3,P0310,20.892431480077224
Brain,3,P0311,14.975973247666962
Brain,3,P0312,9.616227224580618
Brain,3,P0313,21.038639341566572
Brain,3,P0314,9.615687652873369
Brain,3,P0315,12.143486142672632
Brain,3,P0316,6.1845696752555
Brain,3,P0317,7.690051569297303
Brain,3,P0318,4.862465948397727
Brain,3,P0319,13.379856915805448
Brain,3,P0320,3.6437662329949347
Brain,3,P0321,11.81547609279251
Brain,3,P0322,6.590369162254181
Brain,3,P0323,14.92068128222127
Brain,3,P0324,11.594390380276243
Brain,3,P0325,22.02961522239777
Brain,3,P0326,11.45544101198803
Brain,3,P0327,2.8770798724938875
Brain,3,P0328,7.098106769180038
Brain,3,P0329,3.657557900625314
Brain,3,P0330,5.414237698161153
Brain,3,P0331,18.296999048256023
Brain,3,P0332,10.832168659546785
Brain,3,P0333,4.8580724443612775
Brain,3,P0334,4.021960941684131
Brain,3,P0335,7.535832088122645
Brain,3,P0336,3.5610801450373777
Brain,3,P0337,4.9397554877208085
Brain,3,P0338,8.910280147706034
Brain,3,P0339,14.778703941636769
Brain,3,P0340,10.646773444920807
Brain,3,P0341,1.868668779693814
Brain,3,P0342,8.869514301825712
Brain,3,P0343,7.715413983536611
Brain,3,P0344,9.47194404983763
Brain,3,P0345,19.486575819565576
Brain,3,P0346,2.1426792542489297
Brain,3,P0347,5.182761098633908
Brain,3,P0348,10.53332239711891
Brain,3,P0349,2.8606342338316764
Brain,3,P0350,17.913765306266217
Brain,3,P0351,9.216671536018769
Brain,3,P0352,12.279735599551366
Brain,3,P0353,5.245831719634292
Brain,3,P0354,12.040286243555158
Brain,3,P0355,14.028387196597254
Brain,3,P0356,8.497116002353273
Brain,3,P0357,8.504883565402704
Brain,3,P0358,8.690286812028164
Brain,3,P0359,4.401708852773977
Brain,3,P0360,6.763109651186469
Brain,3,P0361,6.742875598031075
Brain,3,P0362,9.300203843845807
Brain,3,P0363,13.46231833372289
Brain,3,P0364,3.915246736439038
Brain,3,P0365,6.855111523489877
Brain,3,P0366,17.973048470109827
Brain,3,P0367,4.729630413226678
Brain,3,P0368,4.511591571627067
Brain,3,P0369,8.342673387777833
Brain,3,P0370,12.26354590586566
Brain,3,P0371,7.4398867974771985
Brain,3,P0372,16.401558392723093
Brain,3,P0373,12.355192122971141
Brain,3,P0374,12.244685916470877
Brain,3,P0375,10.303358404655869
Brain,3,P0376,29.862152030910124
Brain,3,P0377,6.533239966865622
Brain,3,P0378,2.220842491927281
Brain,3,P0379,19.347295009444164
Brain,3,P0380,5.6146561099485055
Brain,3,P0381,7.883155489988085
Brain,3,P0382,16.21165472293676
Brain,3,P0383,2.82538397400714
Brain,3,P0384,3.48689505627906
Brain,3,P0385,2.8270485089579034
Brain,3,P0386,4.588339647151774
Brain,3,P0387,9.619400682400684
Brain,3,P0388,10.119990303307478
Brain,3,P0389,8.721266843591598
Brain,3,P0390,3.1655932211138698
Brain,3,P0391,1.8476931924232356
Brain,3,P0392,7.634001503220183
Brain,3,P0393,5.567434636083132
Brain,3,P0394,9.73406377366538
Brain,3,P0395,11.259049167166957
Brain,3,P0396,8.028075690758188
Brain,3,P0397,11.65901675719378
Brain,3,P0398,8.47844300011783
Brain,3,P0399,10.155737567460063
Brain,3,P0400,4.841361787840878
Brain,3,P0401,6.6341672530516504
Brain,3,P0402,8.315037794665185
Brain,3,P0403,12.089255528263422
Brain,3,P0404,5.834305856749121
Brain,3,P0405,10.101665926256237
Brain,3,P0406,6.299666684973384
Brain,3,P0407,6.885892129498149
Brain,3,P0408,12.15464529123615
Brain,3,P0409,2.234826904393187
Brain,3,P0410,3.3943646585369502
Brain,3,P0411,3.036449063682696
Brain,3,P0412,1.8218096642418549
Brain,3,P0413,4.918685578192195
Brain,3,P0414,11.584411287876177
Brain,3,P0415,6.228089099642861
Brain,3,P0416,8.320098129420877
Brain,3,P0417,14.204097765696245
Brain,3,P0418,16.38902132667417
Brain,3,P0419,7.088808261387045
Brain,3,P0420,16.6456934903316
Brain,3,P0421,7.8089928186901565
Brain,3,P0422,4.47077184376909
Brain,3,P0423,5.172518921263048
Brain,3,P0424,3.039454603140116
Brain,3,P0425,4.336726009600884
Brain,3,P0426,5.960712298786551
Brain,3,P0427,11.966977861498679
Brain,3,P0428,20.74824985328652
Brain,3,P0429,3.2242200975136837
Brain,3,P0430,9.352993766260663
Brain,3,P0431,3.957741904564147
Brain,3,P0432,9.823900598059767
Brain,3,P0433,6.830159386771583
Brain,3,P0434,2.4631881443102817
Brain,3,P0435,12.896786798344964
Brain,3,P0436,5.139724980594933
Brain,3,P0437,5.363731225042722
Brain,3,P0438,3.888986380950314
Brain,3,P0439,4.989970679964096
Brain,3,P0440,9.551844377855277
Brain,3,P0441,6.595933979256754
Brain,3,P0442,8.999753619671889
Brain,3,P0443,9.181155905681848
Brain,3,P0444,16.32009210676484
Brain,3,P0445,6.015432855303161
Brain,3,P0446,3.0461707495937493
Brain,3,P0447,14.01787708882322
Brain,3,P0448,6.0563487181925675
Brain,3,P0449,14.422009349091335
Brain,3,P0450,9.300110370732455
Brain,3,P0451,6.8299508808334854
Brain,3,P0452,9.10902368948924
Brain,3,P0453,23.8219526566109
Brain,3,P0454,25.692222443242013
Brain,3,P0455,7.7031449541750305
Brain,3,P0456,8.1345006509484
Brain,3,P0457,14.093928396671943
Brain,3,P0458,4.448662015705038
Brain,3,P0459,9.023589677357815
Brain,3,P0460,7.275279934073337
Brain,3,P0461,8.920436914820936
Brain,3,P0462,4.481593685011689
Brain,3,P0463,2.8469820517677658
Brain,3,P0464,2.1301873602365475
Brain,3,P0465,3.7794161204317804
Brain,3,P0466,5.611369621467077
Brain,3,P0467,6.1971223549665835
Brain,3,P0468,23.625784931879725
Brain,3,P0469,14.347791414228453
Brain,3,P0470,4.14849380659622
Brain,3,P0471,9.103191546862638
Brain,3,P0472,5.787804654942767
Brain,3,P0473,6.230033420155739
Brain,3,P0474,8.258107042420212
Brain,3,P0475,10.713479020058388
Brain,3,P0476,6.028178605687332
Brain,3,P0477,13.989554159279814
Brain,3,P0478,3.724144139836061
Brain,3,P0479,7.417213424745624
Brain,3,P0480,35.11415185470085
Brain,3,P0481,8.447308294347213
Brain,3,P0482,17.46028204330024
Brain,3,P0483,7.806151735638513
Brain,3,P0484,10.469499884287357
Brain,3,P0485,7.141551740668008
Brain,3,P0486,6.670904455781029
Brain,3,P0487,4.628859743034291
Brain,3,P0488,9.565671605970634
Brain,3,P0489,4.43300501250952
Brain,3,P0490,11.016026222095737
Brain,3,P0491,14.170639775275923
Brain,3,P0492,9.206583669210548
Brain,3,P0493,6.222991625586989
Brain,3,P0494,9.702458893741031
Brain,3,P0495,6.139824549017252
Brain,3,P0496,12.953011058381986
Brain,3,P0497,2.4624489169691417
Brain,3,P0498,6.041398827734863
Brain,3,P0499,2.237843777467046
Brain,3,P0500,3.0130820804068406
Brain,3,P0501,16.748644638428207
Brain,3,P0502,12.643092128021314
Brain,3,P0503,4.798540744013733
Brain,3,P0504,2.999656932739409
Brain,3,P0505,1.2476760953702317
Brain,3,P0506,5.332940076732542
Brain,3,P0507,31.571316647313584
Brain,3,P0508,9.59201098431363
Brain,3,P0509,5.281745490296411
Brain,3,P0510,9.767378666456974
Brain,3,P0511,2.8962737245520405
Brain,3,P0512,6.181778309242263
Brain,3,P0513,7.843510357311609
Brain,3,P0514,7.017026893666904
Brain,3,P0515,11.875573850598458
Brain,3,P0516,9.086475831781726
Brain,3,P0517,11.034156639936475
Brain,3,P0518,4.888945473605025
Brain,3,P0519,12.663061916875781
Brain,3,P0520,19.635951938564784
Brain,3,P0521,4.128484077784323
Brain,3,P0522,4.337866366352989
Brain,3,P0523,16.46884808899885
Brain,3,P0524,6.587629736263262
Brain,3,P0525,17.15505419152153
Brain,3,P0526,5.665972641537814
Brain,3,P0527,17.690492453834395
Brain,3,P0528,7.995600797232654
Brain,3,P0529,8.627349175394386
Brain,3,P0530,18.893743074616452
Brain,3,P0531,5.94730225092592
Brain,3,P0532,4.201017435269113
Brain,3,P0533,5.6455152854634365
Brain,3,P0534,9.69296505559036
Brain,3,P0535,2.887943209947662
Brain,3,P0536,10.831759807620696
Brain,3,P0537,5.348077814980397
Brain,3,P0538,14.712354697915705
Brain,3,P0539,1.7567118894253893
Brain,3,P0540,4.609228709781158
Brain,3,P0541,2.6861773118239274
Brain,3,P0542,4.500832232271336
Brain,3,P0543,8.572844066853207
Brain,3,P0544,6.6356990801623805
Brain,3,P0545,6.346944135899478
Brain,3,P0546,6.715975405762023
Brain,3,P0547,8.348091454151678
Brain,3,P0548,4.034483848023383
Brain,3,P0549,11.29217247699855
Brain,3,P0550,10.996747884595736
Brain,3,P0551,9.309382500325816
Brain,3,P0552,10.31831081202364
Brain,3,P0553,8.827314197776365
Brain,3,P0554,25.054262723049188
Brain,3,P0555,7.012845209465913
Brain,3,P0556,6.145684136235179
Brain,3,P0557,4.701508674513298
Brain,3,P0558,3.9774559153187514
Brain,3,P0559,3.5019393934265266
Brain,3,P0560,4.33500000792847
Brain,3,P0561,7.082250829895313
Brain,3,P0562,9.030223131074441
Brain,3,P0563,7.619305586240525
Brain,3,P0564,4.66775782632433
Brain,3,P0565,12.681075175209838
Brain,3,P0566,11.514966262342123
Brain,3,P0567,6.714108210335797
Brain,3,P0568,4.994065528419804
Brain,3,P0569,10.26825146115197
Brain,3,P0570,8.271237643981992
Brain,3,P0571,3.099136872047563
Brain,3,P0572,7.093733909461486
Brain,3,P0573,8.647078232065894
Brain,3,P0574,4.306748142770477
Brain,3,P0575,8.280522213754999
Brain,3,P0576,3.086712191802563
Brain,3,P0577,16.472818518658087
Brain,3,P0578,15.623403134936012
Brain,3,P0579,6.3502208982036095
Brain,3,P0580,9.189601772254841
Brain,3,P0581,1.7402813934420018
Brain,3,P0582,3.692085238927079
Brain,3,P0583,6.194938873168659
Brain,3,P0584,3.8834354500337196
Brain,3,P0585,11.343420560881206
Brain,3,P0586,24.49276868939453
Brain,3,P0587,3.6474604865825024
Brain,3,P0588,4.470597003551333
Brain,3,P0589,8.51023044030971
Brain,3,P0590,19.427113415994924
Brain,3,P0591,3.5486789677634167
Brain,3,P0592,8.579894980449971
Brain,3,P0593,22.038244059469605
Brain,3,P0594,2.742704592440828
Brain,3,P0595,3.425880352433
Brain,3,P0596,5.730690537529858
Brain,3,P0597,5.406743400071313
Brain,3,P0598,12.03189177799737
Brain,3,P0599,8.54200563322217
Brain,3,P0600,2.547271443713105
Brain,3,P0601,10.066833835400908
Brain,3,P0602,5.225114270618745
Brain,3,P0603,15.873774265325485
Brain,3,P0604,5.070540797751591
Brain,3,P0605,5.043149713985518
Brain,3,P0606,10.223397505650265
Brain,3,P0607,11.67857409922876
Brain,3,P0608,9.668368894609694
Brain,3,P0609,2.687581207036834
Brain,3,P0610,10.204416981483686
Brain,3,P0611,3.9725776614125454
Brain,3,P0612,8.50935091912376
Brain,3,P0613,3.1448284405521094
Brain,3,P0614,9.658064719194249
Brain,3,P0615,4.554157979971055
Brain,3,P0616,3.4226640500489354
Brain,3,P0617,11.339498596993915
Brain,3,P0618,8.541927739997881
Brain,3,P0619,5.112118610455112
Brain,3,P0620,17.649497441643273
Brain,3,P0621,5.672378663041498
Brain,3,P0622,7.53278332043166
Brain,3,P0623,8.682834829452272
Brain,3,P0624,5.094698246597377
Brain,3,P0625,9.802934464814953
Brain,3,P0626,5.3651728395773235
Brain,3,P0627,5.771990567166635
Brain,3,P0628,16.736393233667194
Brain,3,P0629,3.957641901553936
Brain,3,P0630,1.737299335525596
Brain,3,P0631,19.42502526715172
Brain,3,P0632,34.11021063445905
Brain,3,P0633,5.794090047474235
Brain,3,P0634,2.311501181596907
Brain,3,P0635,6.133156930995193
Brain,3,P0636,6.223087897437258
Brain,3,P0637,6.593245364745028
Brain,3,P0638,3.7884886817125247
Brain,3,P0639,10.461864418981513
Brain,3,P0640,10.121930688625293
Brain,3,P0641,3.0142668349139887
Brain,3,P0642,11.240440555391228
Brain,3,P0643,25.32041504609596
Brain,3,P0644,8.192148531850892
Brain,3,P0645,6.035175308489924
Brain,3,P0646,6.785568458007647
Brain,3,P0647,10.688346760543629
Brain,3,P0648,2.615870780903013
Brain,3,P0649,8.155025979534194
Brain,3,P0650,5.845789335195857
Brain,3,P0651,22.39180419536625
Brain,3,P0652,6.655851281316149
Brain,3,P0653,20.10025630892847
Brain,3,P0654,3.8104815846858595
Brain,3,P0655,10.510297596889728
Brain,3,P0656,8.949880303392774
Brain,3,P0657,4.38667550165064
Brain,3,P0658,8.218910591046585
Brain,3,P0659,15.294775539814788
Brain,3,P0660,6.0843808887628335
Brain,3,P0661,2.6773363753663837
Brain,3,P0662,7.3116012872308405
Brain,3,P0663,4.299703828027612
Brain,3,P0664,6.01703995640298
Brain,3,P0665,7.036052849801086
Brain,3,P0666,2.655435497388199
Brain,3,P0667,2.8027609821938713
Brain,3,P0668,9.86743657941755
Brain,3,P0669,5.399837077588802
Brain,3,P0670,1.5859021019298478
Brain,3,P0671,11.83316783528483
Brain,3,P0672,8.700859841772159
Brain,3,P0673,4.814706584419836
Brain,3,P0674,3.35315560252928
Brain,3,P0675,12.20059520432129
Brain,3,P0676,9.11216536053065
Brain,3,P0677,30.863102285686164
Brain,3,P0678,9.507806131356062
Brain,3,P0679,9.324281249496126
Brain,3,P0680,6.684846456545028
Brain,3,P0681,12.062066405011029
Brain,3,P0682,10.751562799969994
Brain,3,P0683,15.65883046994133
Brain,3,P0684,5.404361154468744
Brain,3,P0685,5.6902575812927925
Brain,3,P0686,5.54301234435869
Brain,3,P0687,11.875542495483186
Brain,3,P0688,18.156428115971213
Brain,3,P0689,5.610813422435749
Brain,3,P0690,5.726678895610718
Brain,3,P0691,8.921341559425766
Brain,3,P0692,6.376013762638559
Brain,3,P0693,13.081933966742806
Brain,3,P0694,1.9134992341121193
Brain,3,P0695,4.4995481105220145
Brain,3,P0696,4.620718440581563
Brain,3,P0697,1.836361911944664
Brain,3,P0698,4.144644145436802
Brain,3,P0699,4.2669800573114465
Brain,3,P0700,6.549162686075329
Brain,3,P0701,14.407941318100525
Brain,3,P0702,6.378695499488197
Brain,3,P0703,3.9809153004249915
Brain,3,P0704,7.140817569096078
Brain,3,P0705,13.866892615658559
Brain,3,P0706,4.114118974898915
Brain,3,P0707,4.27872500697377
Brain,3,P0708,10.330796395530394
Brain,3,P0709,6.469367407582457
Brain,3,P0710,10.897035877678968
Brain,3,P0711,7.3288009762252475
Brain,3,P0712,11.257090410745507
Brain,3,P0713,3.970742605844944
Brain,3,P0714,7.3356733687383695
Brain,3,P0715,6.511605141756011
Brain,3,P0716,3.5625103310610364
Brain,3,P0717,2.8918985706114486
Brain,3,P0718,11.15011064488314
Brain,3,P0719,5.986030895254623
Brain,3,P0720,4.001350107364326
Brain,3,P0721,6.974723168710269
Brain,3,P0722,14.5386600888457
Brain,3,P0723,1.8805368465932597
Brain,3,P0724,3.0102308978202927
Brain,3,P0725,4.247234795649259
Brain,3,P0726,17.75571294214104
Brain,3,P0727,8.754362869424677
Brain,3,P0728,11.709381338014992
Brain,3,P0729,3.7281176265966685
Brain,3,P0730,3.774539825866021
Brain,3,P0731,9.666711991020456
Brain,3,P0732,7.65198122953894
Brain,3,P0733,10.270167067331023
Brain,3,P0734,6.60216354684843
Brain,3,P0735,8.731055224134733
Brain,3,P0736,8.12439651957174
Brain,3,P0737,11.783030856415234
Brain,3,P0738,11.991582785987516
Brain,3,P0739,2.795684011122501
Brain,3,P0740,1.9186827191404383
Brain,3,P0741,13.477845166526755
Brain,3,P0742,15.068930720750386
Brain,3,P0743,4.005330857791082
Brain,3,P0744,2.4208016752442134
Brain,3,P0745,7.841427466554395
Brain,3,P0746,12.91646605532922
Brain,3,P0747,21.727021438204094
Brain,3,P0748,10.07219385280309
Brain,3,P0749,5.911916040752838
Brain,3,P0750,4.32374371232016
Brain,3,P0751,7.439999450611018
Brain,3,P0752,6.174581936733536
Brain,3,P0753,4.018703172025232
Brain,3,P0754,25.260789983378274
Brain,3,P0755,21.5656342606361
Brain,3,P0756,14.608874844982997
Brain,3,P0757,4.252426500538485
Brain,3,P0758,12.342043378250521
Brain,3,P0759,10.8457776297771
Brain,3,P0760,9.636205150405655
Brain,3,P0761,15.63949053700424
Brain,3,P0762,10.818121944077442
Brain,3,P0763,11.519123206019488
Brain,3,P0764,10.828090936863182
Brain,3,P0765,9.06548952860598
Brain,3,P0766,2.5340867663360664
Brain,3,P0767,7.7692423226030325
Brain,3,P0768,5.292468777854419
Brain,3,P0769,3.4284059838433767
